text,label
"Government announces new education policy",REAL
"Aliens landed in India yesterday",FAKE
"New technology improves battery life",REAL
"Celebrity secretly rules the world",FAKE
text,label
"Government launches new healthcare scheme for citizens",REAL
"Aliens landed near Delhi airport last night",FAKE
"Scientists discover new renewable energy source",REAL
"Celebrity claims drinking only air increases lifespan",FAKE
"New education policy approved by parliament",REAL
"Secret society controls world weather",FAKE
"Researchers develop faster charging battery technology",REAL
"Man becomes invisible after eating special fruit",FAKE
"India wins international technology innovation award",REAL
"Time traveler arrested for predicting future events",FAKE
"New metro rail project announced in major cities",REAL
"Magic pills guarantee 100% exam success",FAKE
"Space agency successfully launches communication satellite",REAL
"Hidden pyramid discovered under ocean by conspiracy group",FAKE
"Medical experts recommend balanced diet for health",REAL
"Robot gains emotions and demands citizenship",FAKE
"Government increases funding for education sector",REAL
"Fake news spreads about moon turning green",FAKE
"Scientists create eco-friendly plastic alternative",REAL
"Ancient dragon found alive in mountain cave",FAKE
